Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture;*
0250429F;Ecole ̩l̩mentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;6 rue de l'Ecole;;;25300;DOMMARTIN;Dommartin;951640.6;6652299.0;EPSG:2154;46.923.438.329.857.700;63.079.296.833.679.000;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25201;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;46.923438329857795,6.3079296833679095;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;12/07/1965;*
0250439S;Ecole ̩l̩mentaire Robert Delavaux;ECOLE ELEMENTAIRE PUBLIQUE;ROBERT DELAVAUX;Public;22 rue de la Carri̬re;;;25480;ECOLE VALENTIN;Ecole-Valentin;925515.1;6690163.4;EPSG:2154;47.273.432.817.565.500;5.983.640.331.481.870;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25212;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.273432817565585,5.983640331481872;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;29/06/1965;*
0250440T;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;6 GRANDE RUE;;;25140;LES ECORCES;Les Ecorces;987345.0;6686839.4;EPSG:2154;4.721.963.802.437.850;679.843.018.753.985;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25213;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.21963802437859,6.79843018753985;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;13/07/1965;*
0250458M;Ecole maternelle Louis Pergaud;ECOLE MATERNELLE PUBLIQUE;LOUIS PERGAUD;Public;Place du 14 juillet;;;25460;ETUPES;Etupes;990057.3;6718604.9;EPSG:2154;4.750.407.743.814.840;6.854.710.421.159.180;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;25;27;3;25228;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.50407743814846,6.854710421159186;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;08/07/1965;*
0250461R;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;INTERCOMMUNALE;Public;43  GRANDE RUE;;;25520;EVILLERS;Evillers;945066.7;6660608.7;EPSG:2154;4.700.063.884.810.480;62.260.704.632.199.100;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25229;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.00063884810484,6.2260704632199175;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;09/07/1965;*
0250475F;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;FRANCOISE DOLTO;Public;2 rue Fran̤ois Mitterrand;;;25490;FESCHES LE CHATEL;Fesches-le-Ch̢tel;994238.5;6720829.7;EPSG:2154;4.752.222.969.372.000;6.911.649.673.902.910;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;25;27;3;25237;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.52222969372009,6.911649673902916;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;05/07/1965;*
0250497E;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;5 GRANDE RUE;;;25140;FRAMBOUHANS;Frambouhans;984925.3;6686406.6;EPSG:2154;4.721.678.917.985.330;6.766.220.057.314.450;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25256;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.21678917985339,6.766220057314454;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;13/07/1965;*
0250510U;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;Rue du Chenil;;;25870;GENEUILLE;Geneuille;924257.1;6695728.0;EPSG:2154;47.323.918.823.627.400;5.969.779.892.816.370;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25265;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.323918823627494,5.969779892816373;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;29/06/1965;*
0250512W;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;Public;1 rue de l'Ecole;;;25660;GENNES;Gennes;936226.2;6687606.7;EPSG:2154;4.724.670.496.536.650;6.123.869.733.785.540;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25267;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.24670496536655,6.123869733785547;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;29/06/1965;*
0250525K;Ecole ̩l̩mentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;15 rue des Ecoles;;;25520;GOUX LES USIERS;Goux-les-Usiers;949180.7;6657505.3;EPSG:2154;46.971.196.130.172.200;6.278.470.402.715.870;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25282;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;46.971196130172274,6.278470402715874;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;09/07/1965;*
0250535W;Ecole maternelle Fr̩d̩ric Bataille;ECOLE MATERNELLE PUBLIQUE;BATAILLE FREDERIC;Public;Place Dolhain Limbourg;;;25200;GRAND CHARMONT;Grand-Charmont;987752.4;6720894.1;EPSG:2154;4.752.566.799.918.650;68.256.003.396.262.400;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;25;27;3;25284;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.52566799918655,6.8256003396262415;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;05/07/1965;*
0250536X;Ecole maternelle Pierre Curie;ECOLE MATERNELLE PUBLIQUE;CURIE PIERRE;Public;1  RUE DE NORMANDIE;;;25200;GRAND CHARMONT;Grand-Charmont;987394.0;6722009.2;EPSG:2154;47.535.849.922.898.800;6.821.559.863.976.510;Parfaite;Num̩ro de rue;101;ECOLE MATERNELLE;1;OUVERT;25;27;3;25284;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.535849922898805,6.821559863976512;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;05/07/1965;*
0250553R;Ecole ̩l̩mentaire;ECOLE ELEMENTAIRE PUBLIQUE;;Public;14 GRANDE RUE;;;25110;GUILLON LES BAINS;Guillon-les-Bains;956280.0;6696429.1;EPSG:2154;47.318.612.175.779.700;6.393.760.402.737.060;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25299;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.318612175779755,6.393760402737068;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;30/06/1965;*
0250560Y;Ecole ̩l̩mentaire Centre;ECOLE ELEMENTAIRE PUBLIQUE;CENTRE;Public;3 rue de l'Ancienne Mairie;;;25310;HERIMONCOURT;H̩rimoncourt;992572.7;6711491.8;EPSG:2154;4.743.901.513.701.590;6.883.439.783.908.680;Parfaite;Num̩ro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;25;27;3;25304;Doubs;Bourgogne-Franche-Comt̩;Besan̤on;47.43901513701598,6.883439783908682;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE;13/07/1965;*
